"Month","Transect","Subshoot","Shoot","ShootId","LesionAreaInitial","LesionAreaFinal","DelLesionArea","LeafNum","Days"
"June","B","Main",26,"June_B_26",102.4255782,2328.248414,2225.8228358,3,6
"July","A","Main",23,"July_A_23",38.2024,41.887808,3.685408,3,6
"July","A","Main",5,"July_A_5",256.090912,327.3361408,71.2452288,4,6
"July","A","Main",22,"July_A_22",221.5235827,312.5297894,91.0062067,3,6
"July","A","Main",20,"July_A_20",76.25918144,370.2810317,294.02185026,3,6
"July","A","Main",6,"July_A_6",119.9339629,323.634553,203.7005901,3,6
"July","A","Main",7,"July_A_7",158.337712,933.6127232,775.2750112,4,6
"July","A","Main",21,"July_A_21",213.850743,928.3740506,714.5233076,3,6
"July","A","Main",19,"July_A_19",35.30081536,278.7157216,243.41490624,4,6
"July","A","Main",3,"July_A_3",0,53.2316736,53.2316736,3,6
"July","A","Main",30,"July_A_30",0,0,0,3,6
"June","A","Main",8,"June_A_8",178.6775686,992.6871168,814.0095482,3,6
"July","A","Main",24,"July_A_24",1062.794364,1534.449284,471.65492,3,6
"July","A","Main",2,"July_A_2",0,14.5079232,14.5079232,3,6
"July","A","Main",18,"July_A_18",0,12.58432,12.58432,3,6
"July","A","Main",27,"July_A_27",20.01086656,166.832128,146.82126144,4,6
"July","A","Main",1,"July_A_1",549.4745574,1693.727224,1144.2526666,4,6
"July","A","Main",16,"July_A_16",19.98030464,26.28145344,6.3011488,3,6
"June","A","Main",6,"June_A_6",413.9899706,579.1393952,165.1494246,4,6
"July","A","Main",17,"July_A_17",109.0179642,379.4747763,270.4568121,3,6
"July","A","Main",15,"July_A_15",0,0,0,3,6
"July","A","Main",29,"July_A_29",210.248032,267.4257888,57.1777568,4,6
"July","A","Main",28,"July_A_28",798.6728576,1128.202266,329.5294084,3,6
"July","A","Main",14,"July_A_14",0,0,0,3,6
"July","A","Main",10,"July_A_10",6.13575488,0,-6.13575488,4,6
"July","A","Main",13,"July_A_13",15.55781504,247.6953728,232.13755776,3,6
"July","A","Main",8,"July_A_8",36.71565248,396.8195648,360.10391232,4,6
"July","A","Main",12,"July_A_12",0,0,0,3,6
"June","B","Main",29,"June_B_29",134.6773926,227.319561,92.6421684,3,6
